title,author,year,genre,isbn
The Income Tax (Cash Equivalents of Car Benefits) Order 1992 (Statutory Instruments: 1992: 731),Unknown Author,2000,Fantasy,9780110237312
The Horses (Protective Headgear for Young Riders) Regulations 199 (Statutory Instruments: 1992: 1201),Unknown Author,2000,Fantasy,9780110242019
"The Finance Act 1991, Section 58, (Commencement No. 2) Regulations 1992 (Statutory Instruments: 1992: 1346 (C.44))",Unknown Author,2000,Non-Fiction,9780110243467
The Motor Vehicles (Off Road Events) Regulations 1992 (Statutory Instruments: 1992: 1370),Unknown Author,2000,Fantasy,9780110243702
The Employers' Liability (Compulsory Insurance) Exemption (Amendment) Regulations 1992 (Statutory Instruments: 1992: 3172),Unknown Author,2000,Mystery,9780110253961
The Milk and Dairies (Standardisation and Importation) Regulations 1992 (Statutory Instruments: 1992: 3143),Unknown Author,2000,Fantasy,9780110254111
The Farm Business Non-Capital Grant (Amendment) Scheme 1992 (Statutory Instruments: 1992: 3175),Unknown Author,2000,Mystery,9780110254388
The Central Manchester National Health Service Trust (Change of Name) Order 1993 (Statutory Instruments: 1993: 2815),Unknown Author,2000,Fantasy,9780110331126
The Western Isles Islands Council (Brevig) Harbour Empowerment Order 1993 (Statutory Instruments: 1993: 2908 (),Unknown Author,2000,Mystery,9780110335131
The Medicines Control Agency Trading Fund Order 1993 (Statutory Instruments: 1993: 751),Unknown Author,2000,Non-Fiction,9780110337517
The Social Security (Industrial Injuries and Adjudication) Regulations 1993 (Statutory Instruments: 1993: 861),Unknown Author,2000,Fiction,9780110338613
Every man will do his duty,Unknown Author,1997,Fiction,978-0-632-09662-6
The Local Government Finance (Housing) (Consequential Amendments) (Amendment) Order 1993 (Statutory Instruments: 1993: 1120),Unknown Author,2000,Fantasy,9780110341200
The A17 Trunk Road (Leadenham Bypass) Order 1993 (Statutory Instruments: 1993: 1371),Unknown Author,2000,Fantasy,9780110343716
The Vegetable Seeds Regulations 1993 (Statutory Instruments: 1993: 2008),Unknown Author,2000,Non-Fiction,9780110350080
The Nottinghamshire (City of Nottingham) (Structural Change) Order 1996 (Statutory Instruments: 1996: Draft),Unknown Author,2000,Fantasy,9780110358871
The Income Tax (Pension Funds Pooling Schemes) Regulations 1996 (Statutory Instruments: 1996: 1585),Unknown Author,2000,Non-Fiction,9780110359137
The Gas Quality Regulations 1983 (Statutory Instruments: 1983: 363),Unknown Author,2000,Mystery,9780110363639
The Mancunian Community Health National Health Service Trust (Establishment) Order 1994 (Statutory Instruments: 1994: 185),Unknown Author,2000,Fiction,9780110431857
The Trustee Investments (Additional Powers) Order 1994 (Statutory Instruments: 1994: 265),Unknown Author,2000,Non-Fiction,9780110432656
The phenomenology of everyday life,Unknown Author,1997,Fiction,978-1-09-930734-8
"Marshall County, Mississippi probate and will records",Unknown Author,1996,Fiction,978-0-04-136166-7
Principles of electoral reform,Unknown Author,1997,Fiction,978-1-68568-861-5
The Hillingdon Hospital National Health Service Trust (Transfer of Trust Property) Order 1994 (Statutory Instruments: 1994: 623),Unknown Author,2000,Fiction,9780110436234
Bacchae,Unknown Author,1997,Non-Fiction,978-0-12-849229-1
The Education (Maintained Special Schools Becoming Grant-Maintained Special Schools) (Ballot Information) Regulations 1994 (Statutory Instruments: 1994: 1232),Unknown Author,2000,Fantasy,9780110442327
The Education (National Curriculum) (Attainment Targets and Programmes of Study in Science) (Amendment) Order 1994 (Statutory Instruments: 1994: 1520),Unknown Author,2000,Non-Fiction,9780110445205
The Council Tax (Situation and Valuation of Dwellings) (Amendment) Regulations 1994 (Statutory Instruments: 1994: 1747),Unknown Author,2000,Non-Fiction,9780110447476
The Alcan Aluminium UK Ltd. (Rateable Values) (Scotland) Order 1994 (Statutory Instruments: 1994: 2068 (),Unknown Author,2000,Non-Fiction,9780110450681
The Child Abduction and Custody (Parties to Conventions) (Amendment) (No. 5) Order 1994 (Statutory Instruments: 1994: 2792),Unknown Author,2000,Fiction,9780110457925
The County Council of Humberside (River Hill Bridge) Scheme 1994 Confirmation Instrument 1995 (Statutory Instruments: 1995: 748),Unknown Author,2000,Mystery,9780110527130
The Dewsbury Health Care National Health Service Trust (Transfer of Trust Property) Order 1995 (Statutory Instruments: 1995: 1249),Unknown Author,2000,Sci-Fi,9780110529394
The Coal Industry (Restructuring Grants) Order 1995 (Statutory Instruments: 1995: 1454),Unknown Author,2000,Sci-Fi,9780110530772
The Value Added Tax (Refund of Tax) Order 1995 (Statutory Instruments: 1995: 1978),Unknown Author,2000,Sci-Fi,9780110532950
The Landlord and Tenant (Covenants) Act 1995 (Notices) Regulations 1995 (Statutory Instruments: 1995: 2964),Unknown Author,2000,Mystery,9780110536682
The Transfer of Functions (Science) Order 1995 (Statutory Instruments: 1995: 2985),Unknown Author,2000,Fantasy,9780110537771
The Hong Kong (Overseas Public Servants) (Retirement and Compensation) Order 1996 (Statutory Instruments: 1996: 1138),Unknown Author,2000,Mystery,9780110546179
The Western Isles Islands Council (Various Harbours Jurisdiction and Byelaws) Harbour Revision Order 1995 (Statutory Instruments: 1995: 2007 (),Unknown Author,2000,Sci-Fi,9780110550435
The National Health Service (General Ophthalmic Services) (Scotland) Amendment Regulations 1996 (Statutory Instruments: 1996: 843 (),Unknown Author,2000,Mystery,9780110553412
Act of Sederunt (Rules of the Court of Session Amendment No. 3) (Miscellaneous) 1996 (Statutory Instruments: 1996: 1756 (),Unknown Author,2000,Non-Fiction,9780110553931
The Scotland Act 1998 (Transitory and Transitional Provisions) (Standing Orders and Parliamentary Publications) Order 1999 (Statutory Instruments: 1999: 1095),Unknown Author,2000,Mystery,9780110590479
The Fossil Fuel Levy (Amendment) Regulations 1996 (Statutory Instruments: 1996: 1309),Unknown Author,2000,Non-Fiction,9780110626772
The 8 practices of exceptional companies,Unknown Author,1997,Non-Fiction,978-1-5032-6502-8
The Social Security (Contracting-out and Qualifying Earnings Factor) Regulations 1996 (Statutory Instruments: 1996: 2477),Unknown Author,2000,Sci-Fi,9780110630731
The Non-Domestic Rating Contributions (Wales) (Amendment) Regulations 1996 (Statutory Instruments: 1996: 3018),Unknown Author,2000,Fantasy,9780110634395
The Bridgend and the Vale of Glamorgan (Areas) Order 1996 (Statutory Instruments: 1996: 2915),Unknown Author,2000,Sci-Fi,9780110634524
The Housing Accommodation and Homelessness (Persons Subject to Immigration Control) Order (Northern Ireland) 1996 (Statutory Instruments: 1996: 3274),Unknown Author,2000,Fantasy,9780110635279
The Rules of Procedure (Air Force) (Amendment No. 2) Rules 1997 (Statutory Instruments: 1997: 14),Unknown Author,2000,Mystery,9780110635606
The Road Vehicles (Construction and Use) (Amendment) (No 3) Regulations 1997: Road Traffic (Statutory Instruments: 1997: 1340),Unknown Author,1997,Non-Fiction,9780110637174
The Hovercraft (Fees) Regulations 1997 (Statutory Instruments: 1997: 320),Unknown Author,2000,Sci-Fi,9780110638829
The Broadcasting Act 1996 (Commencement No. 2) 0rder 1997 (Statutory Instruments: 1997: 1005 (C. 34)),Unknown Author,2000,Sci-Fi,9780110644479
The Deregulation (Non-Fossil Fuel) Order 1997 (Statutory Instruments: 1997: 1185),Unknown Author,2000,Fiction,9780110644929
The Imported Food Regulations 1997 (Statutory Instruments: 1997),Unknown Author,2000,Mystery,9780110650302
The Civil Aviation (Air Travel Organiser's Licensing) (Second Amendment) Regulations 1997: Civil Aviation (Statutory Instruments: 1997: 2912),Unknown Author,1997,Sci-Fi,9780110652603
The Northern Ireland (Emergency Provisions) Act 1996 (Code of Practice) Order 1998 (Statutory Instruments: 1998: 312),Unknown Author,2000,Non-Fiction,9780110655314
The Surrey Hampshire Borders National Health Service Trust (Establishment) Order 1998 (Statutory Instruments: 1998: 501),Unknown Author,2000,Mystery,9780110656175
The Public Service Vehicles (Traffic Regulation Conditions) Regulations 1986 (Statutory Instruments: 1986: 1030),Unknown Author,2000,Fiction,9780110670300
The Lands Tribunal (Amendment) Rules 1986 (Statutory Instruments: 1986: 1322),Unknown Author,2000,Fantasy,9780110673226
The Community Drivers' Hours and Recording Equipment Regulations 1986 (Statutory Instruments: 1986: 1457),Unknown Author,2000,Fantasy,9780110674575
"The Rabies (Importation of Dogs, Cats and Other Mammals) (Amendment) Order 1986 (Statutory Instruments: 1986: 2062)",Unknown Author,2000,Fiction,9780110680620
"The Local Land Charges Rules, 1977 (Statutory Instruments: 1977: 985)",Unknown Author,2000,Fantasy,9780110709857
The Merchant Shipping (Submersible Craft) (Amendment) Regulations 1987 (Statutory Instruments: 1987: 306),Unknown Author,2000,Sci-Fi,9780110763064
Parliamentary Constituencies (England) (Miscellaneous Changes) Order 1998 (Statutory Instruments: 1998: Draft),Unknown Author,2000,Fantasy,9780110797267
The Water (Prevention of Pollution) (Code of Practice) Order 1998 (Statutory Instruments: 1998: 3084),Unknown Author,1998,Mystery,9780110802961
The Education (Infant Class Sizes) (Grant) Regulations 1999 (Statutory Instruments: 1999: 14),Unknown Author,2000,Fantasy,9780110803616
The Hyde Park and the Regent's Park (Vehicle Parking) (Amendment) Regulations 1999 (Statutory Instruments: 1999: 392),Unknown Author,2000,Fantasy,9780110804996
Tązhii dóó Yéʼiiłbáhí =,Unknown Author,1996,Fiction,978-0-662-97790-2
The Environmentally Sensitive Areas (Exmoor) Designation (Amendment) Order 1999 (Statutory Instruments: 1999: 1371),Unknown Author,2000,Non-Fiction,9780110826455
The Social Fund (Application of Review) Regulations 1988 (Statutory Instruments: 1988: 34),Unknown Author,2000,Fantasy,9780110860343
The Port of Heysham (Pilotage) Harbour Revision Order 1988 (Statutory Instruments: 1988: 1946),Unknown Author,2000,Fantasy,9780110879468
Teaching methods for today's schools,Unknown Author,1997,Fiction,978-0-9537311-5-2
"The Alcohol Tables Regulations, 1979 (Statutory Instruments: 1979: 132)",Unknown Author,2000,Fiction,9780110931326
The Air Quality Standards Regulations 1989 (Statutory Instrument: 1989: 317),Unknown Author,2000,Fiction,9780110963174
The Education (Assisted Places) (Scotland) Regulations 1989 (Statutory Instrument: 1989: 1133 (),Unknown Author,2000,Fiction,9780110971339
The Companies (Northern Ireland) Order 1989 (Statutory Instruments: 1990: 2404 (N.I. 18)),Unknown Author,2000,Sci-Fi,9780110984049
The Kew Record of Taxonomic Literature Relating to Vascular Plants,Unknown Author,2000,Mystery,9780112501190
A School for Armenia (Building Bulletin),Unknown Author,2000,Non-Fiction,9780112707738
Truancy in English Secondary Schools,Unknown Author,2000,Sci-Fi,9780112708704
Assessment of the Early Impact of TfW Funding for Adult Guidance (DfEE Research),Unknown Author,2000,Fiction,9780112709442
Andrea Mantegna,Unknown Author,2000,Sci-Fi,9780112905035
TICTAC,Unknown Author,1999,Sci-Fi,9780113122189
Encode 1,Unknown Author,2000,Mystery,9780113214167
Services to Disabled Children and Their Families,Unknown Author,2000,Non-Fiction,9780113217069
Computer Installation and Acceptance (IT Infrastructure Library),Unknown Author,2000,Non-Fiction,9780113305568
Manual of Firemanship,Unknown Author,2000,Mystery,9780113410002
Intrusive Surveillance Code of Practice,Unknown Author,2000,Mystery,9780113411719
Application for Rectification of an Entry in the Register,Unknown Author,2000,Fiction,9780113902255
"Land Charges Act, 1972 (Forms: K13)",Unknown Author,2000,Fantasy,9780113902293
"Land Charges Act, 1972",Unknown Author,2000,Non-Fiction,9780113902347
"UK Continental Shelf Well Records.Drilling Sequence 79, Well 53/4-2",Unknown Author,2000,Mystery,9780114103798
"UK Continental Shelf Well Records.Drilling Sequence 256, Well 49/21-2",Unknown Author,2000,Fiction,9780114105518
"Lola Montez, oder, Eine Revolution in München",Unknown Author,1998,Fiction,978-1-55946-562-5
UK Continental Shelf Well Records,Unknown Author,2000,Mystery,9780114108878
UK Continental Shelf Well Records,Unknown Author,2000,Fiction,9780114109653
UK Continental Shelf Well Records,Unknown Author,2000,Fiction,9780114111212
Hoosier hysteria!,Unknown Author,1997,Fantasy,978-0-87327-238-4
UK Continental Shelf Well Records,Unknown Author,2000,Sci-Fi,9780114112097
UK Land Well Records,Unknown Author,2000,Fiction,9780114120337
UK Continental Shelf Oil Well Records,Unknown Author,2000,Fiction,9780114121020
UK Land Well Records,Unknown Author,2000,Mystery,9780114121754
UK Land Well Records,Unknown Author,2000,Sci-Fi,9780114122522
UK Continental Shelf Oil Well Records,Unknown Author,2000,Sci-Fi,9780114125158
Human physiology,Unknown Author,1997,Mystery,978-1-197-00108-7
Review of Photovoltaic Power Technology (Reports),Unknown Author,2000,Non-Fiction,9780114137069
UK Continental Shelf Oil Well Records,Unknown Author,2000,Non-Fiction,9780114139131
A Review of the Potential of Biodiesel as a Transport Fuel (Reports),Unknown Author,2000,Mystery,9780114142919
UK Continental Shelf Oil Well Records,Unknown Author,2000,Mystery,9780114151102
UK Continental Shelf Oil Well Records,Unknown Author,2000,Non-Fiction,9780114153427
UK Continental Shelf Oil Well Records,Unknown Author,2000,Mystery,9780114153953
UK Continental Shelf Oil Well Records,Unknown Author,2000,Mystery,9780114157524
UK Continental Shelf Oil Well Records,Unknown Author,2000,Mystery,9780114158705
UK Continental Shelf Oil Well Records,Unknown Author,2000,Non-Fiction,9780114160494
Rules of Court App28 (Blue),Unknown Author,2000,Fiction,9780114900984
Ancient Monuments of Arran (Department of the Environment Official Guides),Unknown Author,2000,Sci-Fi,9780114914479
Jigsaw,Unknown Author,1997,Mystery,978-0-8005-4369-3
Edinburgh Gazette,Unknown Author,2000,Non-Fiction,9780114944803
Edinburgh Gazette,Unknown Author,2000,Non-Fiction,9780114948481
Freshwater biodiversity in Asia,Unknown Author,1996,Fiction,978-0-201-77509-9
Edinburgh Gazette,Unknown Author,2000,Fiction,9780114954796
Edinburgh Gazette,Unknown Author,2000,Fantasy,9780114963705
DTI QA Register on CD-Rom,Unknown Author,2000,Mystery,9780115264832
The role of federal courts in U.S. customs & international trade law,Unknown Author,1997,Mystery,978-0-15-678958-5
Brewing and Malting (Business Monitors),Unknown Author,2000,Fiction,9780115266935
Jewellery (Business Monitors),Unknown Author,2000,Fiction,9780115267116
Agricultural Machinery (Except Tractors) (Business Monitors),Unknown Author,2000,Non-Fiction,9780115271373
Industrial Engines (Business Monitors),Unknown Author,2000,Mystery,9780115275579
Wooden Furniture and Upholstery (Business Monitors),Unknown Author,2000,Fiction,9780115276859
Corsets and Miscellaneous Dress Industries (Business Monitors),Unknown Author,2000,Fantasy,9780115277252
Warp Knitting (Business Monitors),Unknown Author,2000,Fantasy,9780115278037
Ice-Cream (Business Monitors),Unknown Author,2000,Sci-Fi,9780115286193
Paper and Paper Making Materials (Business Monitors),Unknown Author,2000,Fantasy,9780115287855
The science of music,Unknown Author,1997,Non-Fiction,978-0-18-656187-8
Shipbuilding and Repairing,Unknown Author,2000,Fiction,9780115338236
Esto no es Hollywood,Unknown Author,1999,Fantasy,978-0-312-05262-1
Motor Vehicles Registrations,Unknown Author,2000,Fiction,9780115341656
Motor Vehicles Registrations,Unknown Author,2000,Fiction,9780115345982
Shipbuilding and Repairing,Unknown Author,2000,Fiction,9780115354656
Spirit Distilling and Compounding 1990,Unknown Author,2000,Fiction,9780115357541
European monetary policy,Unknown Author,1997,Fiction,978-1-04-396623-2
Narrow Fabrics,Unknown Author,2000,Fantasy,9780115361227
Insurance Companies' and Pension Funds' Investment,Unknown Author,2000,Non-Fiction,9780115367618
"Forging, Pressing and Stamping",Unknown Author,2000,Non-Fiction,9780115368295
Retail Sales,Unknown Author,2000,Mystery,9780115371783
Assets and Liabilities of Finance Houses and Other Credit Companies: Business Monitor: Quarterly Statistics: Business Monitors,Unknown Author,1997,Sci-Fi,9780115378362
Aerospace and Electronics Cost Indices (1995 = 100),Unknown Author,2000,Sci-Fi,9780115379475
"Report on the Collision That Occurred on Jan. 16, 1982 in East Croydon Station in the Southern Region of British Railways",Unknown Author,2000,Fiction,9780115506833
Specification for Highway Works,Unknown Author,2000,Sci-Fi,9780115507625
Door to Door,Unknown Author,2000,Sci-Fi,9780115508844
Road Accidents,Unknown Author,2000,Fantasy,9780115510748
Design Manual for Roads and Bridges,Unknown Author,2000,Fantasy,9780115514609
Merchant Shipping Notices,Unknown Author,2000,Non-Fiction,9780115516511
Fleetcraft,Unknown Author,2000,Sci-Fi,9780115522918
"Documents on British Foreign Policy, 1919-39 (Documents on British Foreign Policy, 1919-39. 1st Series)",Unknown Author,2000,Non-Fiction,9780115915536
"Annual Abstract of Statistics, 1988 (Annual Abstract of Statistics)",Unknown Author,2000,Mystery,9780116202949
Social Trends,Unknown Author,2000,Non-Fiction,9780116206626
The cruelest lie,Unknown Author,1998,Fiction,978-1-254-35086-8
Labour Market Trends,Unknown Author,2000,Non-Fiction,9780116211026
Better Quality Services,Unknown Author,2000,Sci-Fi,9780116309648
London Gazette,Unknown Author,2000,Non-Fiction,9780116620170
London Gazette,Unknown Author,2000,Non-Fiction,9780116624048
London Gazette,Unknown Author,2000,Fiction,9780116630841
London Gazette,Unknown Author,2000,Non-Fiction,9780116633750
London Gazette,Unknown Author,2000,Fantasy,9780116640642
"Actores, agendas y escenarios en El Salvador, 1998",Unknown Author,1998,Sci-Fi,978-0-413-84432-3
Leisure Day Visits in Great Britain (SS 1279),Unknown Author,2000,Sci-Fi,9780116913586
The Europe 1992 Directory,Unknown Author,2000,Fiction,9780117014916
GC Works 1,Unknown Author,2000,Sci-Fi,9780117021846
Whitaker's Almanack (Whitakers),Unknown Author,2000,Non-Fiction,9780117022416
American novelists since World War II.,Unknown Author,1996,Fiction,978-1-233-67447-3
The Pesticides Register,Unknown Author,2000,Non-Fiction,9780117295520
Drainage and Waste Disposal,Unknown Author,2000,Fiction,9780117518254
"Housing & Construction Statistics, 1979-1989",Unknown Author,2000,Fantasy,9780117523425
Social Fund Manual,Unknown Author,2000,Mystery,9780117615427
Income Support Guide 1993,Unknown Author,2000,Mystery,9780117621206
Social Fund Computer System,Unknown Author,2000,Fiction,9780117623552
Tax Cases Reported Under the Direction of the Board of Inland Revenue,Unknown Author,2000,Sci-Fi,9780117810235
Medicine women,Unknown Author,1997,Non-Fiction,978-0-947100-53-7
Statutes in Force,Unknown Author,2000,Fantasy,9780118006255
What wondrous love,Unknown Author,1996,Sci-Fi,978-1-02-311669-5
Statutes in Force,Unknown Author,2000,Non-Fiction,9780118015554
Statutes in Force,Unknown Author,2000,Mystery,9780118015981
Statutes in Force,Unknown Author,2000,Mystery,9780118016193
The synergy trap,Unknown Author,1997,Mystery,978-0-548-63064-8
Statutes in Force,Unknown Author,2000,Sci-Fi,9780118021302
Statutes in Force,Unknown Author,2000,Non-Fiction,9780118027762
Statutes in Force,Unknown Author,2000,Non-Fiction,9780118033640
Statutes in Force,Unknown Author,2000,Sci-Fi,9780118038034
Statutes in Force,Unknown Author,2000,Fiction,9780118038560
Statutes in Force,Unknown Author,2000,Fiction,9780118039987
Priests and officials in the ancient Near East,Unknown Author,1999,Fiction,978-1-284-26236-0
Statutes in Force,Unknown Author,2000,Non-Fiction,9780118047609
Statutes in Force,Unknown Author,2000,Fiction,9780118048606
Statutes in Force,Unknown Author,2000,Mystery,9780118050180
Statutes in Force,Unknown Author,2000,Mystery,9780118050760
Statutes in Force,Unknown Author,2000,Sci-Fi,9780118051873
Statutes in Force,Unknown Author,2000,Fiction,9780118054720
Statutes in Force,Unknown Author,2000,Mystery,9780118055529
Statutes in Force,Unknown Author,2000,Fiction,9780118057462
Application of Photo-electric Safety Systems to Machinery (PM),Unknown Author,2000,Sci-Fi,9780118835930
Preventing Accidents to Children in Agriculture,Unknown Author,2000,Mystery,9780118839976
Respiratory Protective Equipment for Use Against Airborne Radioactivity (EH),Unknown Author,2000,Non-Fiction,9780118854177
Trainability Testing,Unknown Author,2000,Non-Fiction,9780118856034
Platinum Metal and Soluble Inorganic Compounds of Platinum in Air,Unknown Author,2000,Mystery,9780118856355
Noise Measurement Techniques for Tractor Operated Machinery (HSE Contract Research Report),Unknown Author,2000,Fantasy,9780118859752
Planetary and Lunar Coordinates for the Years 2001-2020,Unknown Author,2000,Fantasy,9780118873123
Addendum to the Medium-Term Plan for the Period 1984-1989,Unknown Author,2000,Sci-Fi,9780119091908
Official Records,Unknown Author,2000,Non-Fiction,9780119095340
Report of the Committee on Contributions,Unknown Author,2000,Non-Fiction,9780119096460
Report of the Committee on Information,Unknown Author,2000,Fiction,9780119099720
Descriptive Map of the United Nations,Unknown Author,2000,Non-Fiction,9780119101218
Report of the Committee on Relations with the Host Country,Unknown Author,2000,Sci-Fi,9780119105155
Official Journal of the European Communities,Unknown Author,2000,Mystery,9780119112207
Official Journal of the European Communities,Unknown Author,2000,Mystery,9780119114430
Official Journal of the European Communities,Unknown Author,2000,Fantasy,9780119125504
Official Journal of the European Communities,Unknown Author,2000,Fantasy,9780119133455
Official Journal of the European Communities,Unknown Author,2000,Mystery,9780119139167
Women explorers in polar regions,Unknown Author,1997,Fantasy,978-1-4503-2423-6
Official Journal of the European Communities,Unknown Author,1995,Fantasy,9780119143362
Official Journal of the European Communities,Unknown Author,2000,Sci-Fi,9780119145243
Official Journal of the European Communities,Unknown Author,1996,Fantasy,9780119147599
Official Journal of the European Communities,Unknown Author,2000,Sci-Fi,9780119148466
Official Journal of the European Communities,Unknown Author,2000,Sci-Fi,9780119148800
Official Journal of the European Communities,Unknown Author,2000,Sci-Fi,9780119154702
Official Journal of the European Communities,Unknown Author,1996,Fiction,9780119154870
Official Journal of the European Communities,Unknown Author,2000,Mystery,9780119155761
Official Journal of the European Communities,Unknown Author,2000,Mystery,9780119157840
Official Journal of the European Communities,Unknown Author,2000,Non-Fiction,9780119159455
Official Journal of the European Communities,Unknown Author,2000,Sci-Fi,9780119159813
Official Journal of the European Communities,Unknown Author,2000,Fiction,9780119160246
Official Journal of the European Communities,Unknown Author,2000,Non-Fiction,9780119161649
Official Journal of the European Communities,Unknown Author,2000,Mystery,9780119162042
Official Journal of the European Communities,Unknown Author,2000,Non-Fiction,9780119163971
Official Journal of the European Communities,Unknown Author,2000,Fiction,9780119164428
Official Journal of the European Communities,Unknown Author,2000,Fiction,9780119174397
Official Records of the General Assembly of the United Nations,Unknown Author,2000,Non-Fiction,9780119417333
Household Textiles (UK Markets: Quarterly Reports: QR6),Unknown Author,1995,Sci-Fi,9780119631760
Miscellaneous Fabricated Metal Products (UK Markets: Annual Reports 1994: AR46),Unknown Author,1995,Non-Fiction,9780119632514
Official Journal of the European Communities,Unknown Author,1988,Sci-Fi,9780119654271
Official Journal of the European Communities,Unknown Author,2000,Fiction,9780119666823
Official Journal of the European Communities,Unknown Author,2000,Fantasy,9780119668025
Cheap and easy cooking,Unknown Author,1996,Non-Fiction,978-0-348-66061-6
God sent a rainbow,Unknown Author,1997,Sci-Fi,978-0-7694-8795-3
Official Journal of the European Communities,Unknown Author,2000,Mystery,9780119673098
Official Journal of the European Communities,Unknown Author,2000,Mystery,9780119679410
Official Journal of the European Communities,Unknown Author,2000,Mystery,9780119679977
Official Journal of the European Communities,Unknown Author,2000,Mystery,9780119689686
Official Journal of the European Communities,Unknown Author,2000,Sci-Fi,9780119689778
Official Journal of the European Communities,Unknown Author,2000,Fiction,9780119699616
Portable Electronic Load for Field Measurements of Photovoltaic Systems,Unknown Author,2000,Sci-Fi,9780119719864
Materials Research for Advanced Solid State Fuel Cells,Unknown Author,2000,Fiction,9780119726800
Recent Publications on the European Communities Received by the Library (Recent Publications on the European Communities Received by the Library),Unknown Author,2000,Non-Fiction,9780119729160
Consumer Price Index (Consumer Price Index),Unknown Author,1996,Non-Fiction,9780119747454
Statistics in Focus,Unknown Author,2000,Fantasy,9780119748819
Statistics in Focus,Unknown Author,2000,Sci-Fi,9780119749625
Richard Meier,Unknown Author,1996,Non-Fiction,978-0-15-578539-7
"COM (1999) 263 Final, Brussels, 08.06.1999: 01 - Institutional Questions; 14 - Environment; 02 - Customs Union and Commercial Policy; 10 - Economic Questions ... (COM (1999) 263 Final, Brussels, 08.06.1999)",Unknown Author,1999,Non-Fiction,9780119767711
Culham Laboratory Annual Report 1985,Unknown Author,2000,Fiction,9780119838503
Czech Republic (IMF Staff Country Report: 95/85),Unknown Author,2000,Mystery,9780119842630
Brunei Darrusalam,Unknown Author,2000,Sci-Fi,9780119844849
Merger Decision No. IV/M.855 - BT/NS - Telfort (English Only),Unknown Author,1998,Fiction,9780119848199
Official Journal of the European Communities,Unknown Author,2000,Mystery,9780119848595
Official Journal of the European Communities,Unknown Author,1979,Sci-Fi,9780119910858
Official Journal of the European Communities,Unknown Author,1986,Mystery,9780119990034
Infrared and Millimeter Waves,Unknown Author,2000,Sci-Fi,9780121477158
"Quantitative and Qualitative Microscopy (Methods in Neurosciences, Vol 3)",Unknown Author,2000,Fantasy,9780121852566
Phase Transitions and Critical Phenomena,Unknown Author,2000,Fiction,9780122203138
Orthopaedic Mechanics,Unknown Author,2000,Sci-Fi,9780122816024
Citrus Fruit,Unknown Author,2000,Non-Fiction,9780123741301
Methods in Microbiology,Unknown Author,2000,Mystery,9780125215183
Methods in Microbiology,Unknown Author,2000,Mystery,9780125215459
VITAMINS AND HORMONES V18,Unknown Author,2000,Fiction,9780127098180
Voices in the purple haze,Unknown Author,1997,Fiction,978-0-8336-3490-0
COBOL in a Box,Unknown Author,2000,Fantasy,9780130119209
Microsoft Word 2000,Unknown Author,2000,Sci-Fi,9780130131577
Marketing,Unknown Author,2000,Sci-Fi,9780130158123
The American heritage children's dictionary,Unknown Author,1997,Mystery,978-0-7972-5294-3
